No,Branch_Code,Original_Name,Name,Name2,Generation,Type1,Type2,Ability1,Ability2,Ability_Hidden,Category,Mega_Evolution_Flag,Region_Form,HP,Attack,Defense,SP_Attack,SP_Defense,Speed,Total,image_url
248,248_0,Tyranitar,Tyranitar,,2,Rock,Dark,Sand Stream,,Unnerve,Ordinary,,,100,134,110,95,100,61,600,https://img.pokemondb.net/artwork/large/tyranitar.jpg
248,248_1,Tyranitar,Mega Tyranitar,,2,Rock,Dark,Sand Stream,,,Ordinary,Mega,,100,164,150,95,120,71,700,https://img.pokemondb.net/artwork/large/mega-tyranitar.jpg
249,249_0,Lugia,Lugia,,2,Psychic,Flying,Pressure,,Multiscale,Legendary,,,106,90,130,90,154,110,680,https://img.pokemondb.net/artwork/large/lugia.jpg
250,250_0,Ho-Oh,Ho-Oh,,2,Fire,Flying,Pressure,,Regenerator,Legendary,,,106,130,90,110,154,90,680,https://img.pokemondb.net/artwork/large/ho-oh.jpg
251,251_0,Celebi,Celebi,,2,Psychic,Grass,Natural Cure,,,Mythical,,,100,100,100,100,100,100,600,https://img.pokemondb.net/artwork/large/celebi.jpg
252,252_0,Treecko,Treecko,,3,Grass,,Overgrow,,Unburden,Ordinary,,,40,45,35,65,55,70,310,https://img.pokemondb.net/artwork/large/treecko.jpg
253,253_0,Grovyle,Grovyle,,3,Grass,,Overgrow,,Unburden,Ordinary,,,50,65,45,85,65,95,405,https://img.pokemondb.net/artwork/large/grovyle.jpg
254,254_0,Sceptile,Sceptile,,3,Grass,,Overgrow,,Unburden,Ordinary,,,70,85,65,105,85,120,530,https://img.pokemondb.net/artwork/large/sceptile.jpg
254,254_1,Sceptile,Mega Sceptile,,3,Grass,Dragon,Lightning Rod,,,Ordinary,Mega,,70,110,75,145,85,145,630,https://img.pokemondb.net/artwork/large/mega-sceptile.jpg
255,255_0,Torchic,Torchic,,3,Fire,,Blaze,,Speed Boost,Ordinary,,,45,60,40,70,50,45,310,https://img.pokemondb.net/artwork/large/torchic.jpg
256,256_0,Combusken,Combusken,,3,Fire,Fighting,Blaze,,Speed Boost,Ordinary,,,60,85,60,85,60,55,405,https://img.pokemondb.net/artwork/large/combusken.jpg
257,257_0,Blaziken,Blaziken,,3,Fire,Fighting,Blaze,,Speed Boost,Ordinary,,,80,120,70,110,70,80,530,https://img.pokemondb.net/artwork/large/blaziken.jpg
257,257_1,Blaziken,Mega Blaziken,,3,Fire,Fighting,Speed Boost,,,Ordinary,Mega,,80,160,80,130,80,100,630,https://img.pokemondb.net/artwork/large/mega-blaziken.jpg
258,258_0,Mudkip,Mudkip,,3,Water,,Torrent,,Damp,Ordinary,,,50,70,50,50,50,40,310,https://img.pokemondb.net/artwork/large/mudkip.jpg
259,259_0,Marshtomp,Marshtomp,,3,Water,Ground,Torrent,,Damp,Ordinary,,,70,85,70,60,70,50,405,https://img.pokemondb.net/artwork/large/marshtomp.jpg
260,260_0,Swampert,Swampert,,3,Water,Ground,Torrent,,Damp,Ordinary,,,100,110,90,85,90,60,535,https://img.pokemondb.net/artwork/large/swampert.jpg
260,260_1,Swampert,Mega Swampert,,3,Water,Ground,Swift Swim,,,Ordinary,Mega,,100,150,110,95,110,70,635,https://img.pokemondb.net/artwork/large/mega-swampert.jpg
261,261_0,Poochyena,Poochyena,,3,Dark,,Run Away,Quick Feet,Rattled,Ordinary,,,35,55,35,30,30,35,220,https://img.pokemondb.net/artwork/large/poochyena.jpg
262,262_0,Mightyena,Mightyena,,3,Dark,,Intimidate,Quick Feet,Moxie,Ordinary,,,70,90,70,60,60,70,420,https://img.pokemondb.net/artwork/large/mightyena.jpg
263,263_0,Zigzagoon,Zigzagoon,,3,Normal,,Pickup,Gluttony,Quick Feet,Ordinary,,,38,30,41,30,41,60,240,https://img.pokemondb.net/artwork/large/zigzagoon.jpg
263,263_1,Zigzagoon,Galarian Zigzagoon,,8,Dark,Normal,Pickup,Gluttony,Quick Feet,Ordinary,,Galarian,38,30,41,30,41,60,240,https://img.pokemondb.net/artwork/large/galarian-zigzagoon.jpg
264,264_0,Linoone,Linoone,,3,Normal,,Pickup,Gluttony,Quick Feet,Ordinary,,,78,70,61,50,61,100,420,https://img.pokemondb.net/artwork/large/linoone.jpg
264,264_1,Linoone,Galarian Linoone,,8,Dark,Normal,Pickup,Gluttony,Quick Feet,Ordinary,,Galarian,78,70,61,50,61,100,420,https://img.pokemondb.net/artwork/large/galarian-linoone.jpg
265,265_0,Wurmple,Wurmple,,3,Bug,,Shield Dust,,Run Away,Ordinary,,,45,45,35,20,30,20,195,https://img.pokemondb.net/artwork/large/wurmple.jpg
266,266_0,Silcoon,Silcoon,,3,Bug,,Shed Skin,,,Ordinary,,,50,35,55,25,25,15,205,https://img.pokemondb.net/artwork/large/silcoon.jpg
267,267_0,Beautifly,Beautifly,,3,Bug,Flying,Swarm,,Rivalry,Ordinary,,,60,70,50,100,50,65,395,https://img.pokemondb.net/artwork/large/beautifly.jpg
268,268_0,Cascoon,Cascoon,,3,Bug,,Shed Skin,,,Ordinary,,,50,35,55,25,25,15,205,https://img.pokemondb.net/artwork/large/cascoon.jpg
269,269_0,Dustox,Dustox,,3,Bug,Poison,Shield Dust,,Compound Eyes,Ordinary,,,60,50,70,50,90,65,385,https://img.pokemondb.net/artwork/large/dustox.jpg
270,270_0,Lotad,Lotad,,3,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Ordinary,,,40,30,30,40,50,30,220,https://img.pokemondb.net/artwork/large/lotad.jpg
271,271_0,Lombre,Lombre,,3,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Ordinary,,,60,50,50,60,70,50,340,https://img.pokemondb.net/artwork/large/lombre.jpg
272,272_0,Ludicolo,Ludicolo,,3,Water,Grass,Swift Swim,Rain Dish,Own Tempo,Ordinary,,,80,70,70,90,100,70,480,https://img.pokemondb.net/artwork/large/ludicolo.jpg
273,273_0,Seedot,Seedot,,3,Grass,,Chlorophyll,Early Bird,Pickpocket,Ordinary,,,40,40,50,30,30,30,220,https://img.pokemondb.net/artwork/large/seedot.jpg
274,274_0,Nuzleaf,Nuzleaf,,3,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Ordinary,,,70,70,40,60,40,60,340,https://img.pokemondb.net/artwork/large/nuzleaf.jpg
275,275_0,Shiftry,Shiftry,,3,Grass,Dark,Chlorophyll,Early Bird,Pickpocket,Ordinary,,,90,100,60,90,60,80,480,https://img.pokemondb.net/artwork/large/shiftry.jpg
276,276_0,Taillow,Taillow,,3,Normal,Flying,Guts,,Scrappy,Ordinary,,,40,55,30,30,30,85,270,https://img.pokemondb.net/artwork/large/taillow.jpg
277,277_0,Swellow,Swellow,,3,Normal,Flying,Guts,,Scrappy,Ordinary,,,60,85,60,75,50,125,455,https://img.pokemondb.net/artwork/large/swellow.jpg
278,278_0,Wingull,Wingull,,3,Water,Flying,Keen Eye,Hydration,Rain Dish,Ordinary,,,40,30,30,55,30,85,270,https://img.pokemondb.net/artwork/large/wingull.jpg
279,279_0,Pelipper,Pelipper,,3,Water,Flying,Keen Eye,Drizzle,Rain Dish,Ordinary,,,60,50,100,95,70,65,440,https://img.pokemondb.net/artwork/large/pelipper.jpg
280,280_0,Ralts,Ralts,,3,Psychic,Fairy,Synchronize,Trace,Telepathy,Ordinary,,,28,25,25,45,35,40,198,https://img.pokemondb.net/artwork/large/ralts.jpg
281,281_0,Kirlia,Kirlia,,3,Psychic,Fairy,Synchronize,Trace,Telepathy,Ordinary,,,38,35,35,65,55,50,278,https://img.pokemondb.net/artwork/large/kirlia.jpg
282,282_0,Gardevoir,Gardevoir,,3,Psychic,Fairy,Synchronize,Trace,Telepathy,Ordinary,,,68,65,65,125,115,80,518,https://img.pokemondb.net/artwork/large/gardevoir.jpg
282,282_1,Gardevoir,Mega Gardevoir,Gardevoir-Mega,3,Psychic,Fairy,Pixilate,,,Ordinary,Mega,,68,85,65,165,135,100,618,https://img.pokemondb.net/artwork/large/mega-gardevoir.jpg
283,283_0,Surskit,Surskit,,3,Bug,Water,Swift Swim,,Rain Dish,Ordinary,,,40,30,32,50,52,65,269,https://img.pokemondb.net/artwork/large/surskit.jpg
284,284_0,Masquerain,Masquerain,,3,Bug,Flying,Intimidate,,Unnerve,Ordinary,,,70,60,62,100,82,80,454,https://img.pokemondb.net/artwork/large/masquerain.jpg
285,285_0,Shroomish,Shroomish,,3,Grass,,Effect Spore,Poison Heal,Quick Feet,Ordinary,,,60,40,60,40,60,35,295,https://img.pokemondb.net/artwork/large/shroomish.jpg
286,286_0,Breloom,Breloom,,3,Grass,Fighting,Effect Spore,Poison Heal,Technician,Ordinary,,,60,130,80,60,60,70,460,https://img.pokemondb.net/artwork/large/breloom.jpg
287,287_0,Slakoth,Slakoth,,3,Normal,,Truant,,,Ordinary,,,60,60,60,35,35,30,280,https://img.pokemondb.net/artwork/large/slakoth.jpg
288,288_0,Vigoroth,Vigoroth,,3,Normal,,Vital Spirit,,,Ordinary,,,80,80,80,55,55,90,440,https://img.pokemondb.net/artwork/large/vigoroth.jpg
289,289_0,Slaking,Slaking,,3,Normal,,Truant,,,Ordinary,,,150,160,100,95,65,100,670,https://img.pokemondb.net/artwork/large/slaking.jpg
290,290_0,Nincada,Nincada,,3,Bug,Ground,Compound Eyes,,Run Away,Ordinary,,,31,45,90,30,30,40,266,https://img.pokemondb.net/artwork/large/nincada.jpg
291,291_0,Ninjask,Ninjask,,3,Bug,Flying,Speed Boost,,Infiltrator,Ordinary,,,61,90,45,50,50,160,456,https://img.pokemondb.net/artwork/large/ninjask.jpg
292,292_0,Shedinja,Shedinja,,3,Bug,Ghost,Wonder Guard,,,Ordinary,,,1,90,45,30,30,40,236,https://img.pokemondb.net/artwork/large/shedinja.jpg
293,293_0,Whismur,Whismur,,3,Normal,,Soundproof,,Rattled,Ordinary,,,64,51,23,51,23,28,240,https://img.pokemondb.net/artwork/large/whismur.jpg
294,294_0,Loudred,Loudred,,3,Normal,,Soundproof,,Scrappy,Ordinary,,,84,71,43,71,43,48,360,https://img.pokemondb.net/artwork/large/loudred.jpg
295,295_0,Exploud,Exploud,,3,Normal,,Soundproof,,Scrappy,Ordinary,,,104,91,63,91,73,68,490,https://img.pokemondb.net/artwork/large/exploud.jpg
296,296_0,Makuhita,Makuhita,,3,Fighting,,Thick Fat,Guts,Sheer Force,Ordinary,,,72,60,30,20,30,25,237,https://img.pokemondb.net/artwork/large/makuhita.jpg
297,297_0,Hariyama,Hariyama,,3,Fighting,,Thick Fat,Guts,Sheer Force,Ordinary,,,144,120,60,40,60,50,474,https://img.pokemondb.net/artwork/large/hariyama.jpg
298,298_0,Azurill,Azurill,,3,Normal,Fairy,Thick Fat,Huge Power,Sap Sipper,Ordinary,,,50,20,40,20,40,20,190,https://img.pokemondb.net/artwork/large/azurill.jpg
299,299_0,Nosepass,Nosepass,,3,Rock,,Sturdy,Magnet Pull,Sand Force,Ordinary,,,30,45,135,45,90,30,375,https://img.pokemondb.net/artwork/large/nosepass.jpg
300,300_0,Skitty,Skitty,,3,Normal,,Cute Charm,Normalize,Wonder Skin,Ordinary,,,50,45,45,35,35,50,260,https://img.pokemondb.net/artwork/large/skitty.jpg
301,301_0,Delcatty,Delcatty,,3,Normal,,Cute Charm,Normalize,Wonder Skin,Ordinary,,,70,65,65,55,55,90,400,https://img.pokemondb.net/artwork/large/delcatty.jpg
302,302_0,Sableye,Sableye,,3,Dark,Ghost,Keen Eye,Stall,Prankster,Ordinary,,,50,75,75,65,65,50,380,https://img.pokemondb.net/artwork/large/sableye.jpg
302,302_1,Sableye,Mega Sableye,,3,Dark,Ghost,Magic Bounce,,,Ordinary,Mega,,50,85,125,85,115,20,480,https://img.pokemondb.net/artwork/large/mega-sableye.jpg
303,303_0,Mawile,Mawile,,3,Steel,Fairy,Hyper Cutter,Intimidate,Sheer Force,Ordinary,,,50,85,85,55,55,50,380,https://img.pokemondb.net/artwork/large/mawile.jpg
303,303_1,Mawile,Mega Mawile,Mawile-Mega,3,Steel,Fairy,Huge Power,,,Ordinary,Mega,,50,105,125,55,95,50,480,https://img.pokemondb.net/artwork/large/mega-mawile.jpg
304,304_0,Aron,Aron,,3,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Ordinary,,,50,70,100,40,40,30,330,https://img.pokemondb.net/artwork/large/aron.jpg
305,305_0,Lairon,Lairon,,3,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Ordinary,,,60,90,140,50,50,40,430,https://img.pokemondb.net/artwork/large/lairon.jpg
306,306_0,Aggron,Aggron,,3,Steel,Rock,Sturdy,Rock Head,Heavy Metal,Ordinary,,,70,110,180,60,60,50,530,https://img.pokemondb.net/artwork/large/aggron.jpg
306,306_1,Aggron,Mega Aggron,,3,Steel,,Filter,,,Ordinary,Mega,,70,140,230,60,80,50,630,https://img.pokemondb.net/artwork/large/mega-aggron.jpg
307,307_0,Meditite,Meditite,,3,Fighting,Psychic,Pure Power,,Telepathy,Ordinary,,,30,40,55,40,55,60,280,https://img.pokemondb.net/artwork/large/meditite.jpg
308,308_0,Medicham,Medicham,,3,Fighting,Psychic,Pure Power,,Telepathy,Ordinary,,,60,60,75,60,75,80,410,https://img.pokemondb.net/artwork/large/medicham.jpg
308,308_1,Medicham,Mega Medicham,,3,Fighting,Psychic,Pure Power,,,Ordinary,Mega,,60,100,85,80,85,100,510,https://img.pokemondb.net/artwork/large/mega-medicham.jpg
309,309_0,Electrike,Electrike,,3,Electric,,Static,Lightning Rod,Minus,Ordinary,,,40,45,40,65,40,65,295,https://img.pokemondb.net/artwork/large/electrike.jpg
310,310_0,Manectric,Manectric,,3,Electric,,Static,Lightning Rod,Minus,Ordinary,,,70,75,60,105,60,105,475,https://img.pokemondb.net/artwork/large/manectric.jpg
310,310_1,Manectric,Mega Manectric,,3,Electric,,Intimidate,,,Ordinary,Mega,,70,75,80,135,80,135,575,https://img.pokemondb.net/artwork/large/mega-manectric.jpg
311,311_0,Plusle,Plusle,,3,Electric,,Plus,,Lightning Rod,Ordinary,,,60,50,40,85,75,95,405,https://img.pokemondb.net/artwork/large/plusle.jpg
312,312_0,Minun,Minun,,3,Electric,,Minus,,Volt Absorb,Ordinary,,,60,40,50,75,85,95,405,https://img.pokemondb.net/artwork/large/minun.jpg
313,313_0,Volbeat,Volbeat,,3,Bug,,Illuminate,Swarm,Prankster,Ordinary,,,65,73,75,47,85,85,430,https://img.pokemondb.net/artwork/large/volbeat.jpg
314,314_0,Illumise,Illumise,,3,Bug,,Oblivious,Tinted Lens,Prankster,Ordinary,,,65,47,75,73,85,85,430,https://img.pokemondb.net/artwork/large/illumise.jpg
315,315_0,Roselia,Roselia,,3,Grass,Poison,Natural Cure,Poison Point,Leaf Guard,Ordinary,,,50,60,45,100,80,65,400,https://img.pokemondb.net/artwork/large/roselia.jpg
316,316_0,Gulpin,Gulpin,,3,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Ordinary,,,70,43,53,43,53,40,302,https://img.pokemondb.net/artwork/large/gulpin.jpg
317,317_0,Swalot,Swalot,,3,Poison,,Liquid Ooze,Sticky Hold,Gluttony,Ordinary,,,100,73,83,73,83,55,467,https://img.pokemondb.net/artwork/large/swalot.jpg
318,318_0,Carvanha,Carvanha,,3,Water,Dark,Rough Skin,,Speed Boost,Ordinary,,,45,90,20,65,20,65,305,https://img.pokemondb.net/artwork/large/carvanha.jpg
319,319_0,Sharpedo,Sharpedo,,3,Water,Dark,Rough Skin,,Speed Boost,Ordinary,,,70,120,40,95,40,95,460,https://img.pokemondb.net/artwork/large/sharpedo.jpg
319,319_1,Sharpedo,Mega Sharpedo,,3,Water,Dark,Strong Jaw,,,Ordinary,Mega,,70,140,70,110,65,105,560,https://img.pokemondb.net/artwork/large/mega-sharpedo.jpg
320,320_0,Wailmer,Wailmer,,3,Water,,Water Veil,Oblivious,Pressure,Ordinary,,,130,70,35,70,35,60,400,https://img.pokemondb.net/artwork/large/wailmer.jpg
321,321_0,Wailord,Wailord,,3,Water,,Water Veil,Oblivious,Pressure,Ordinary,,,170,90,45,90,45,60,500,https://img.pokemondb.net/artwork/large/wailord.jpg
322,322_0,Numel,Numel,,3,Fire,Ground,Oblivious,Simple,Own Tempo,Ordinary,,,60,60,40,65,45,35,305,https://img.pokemondb.net/artwork/large/numel.jpg
323,323_0,Camerupt,Camerupt,,3,Fire,Ground,Magma Armor,Solid Rock,Anger Point,Ordinary,,,70,100,70,105,75,40,460,https://img.pokemondb.net/artwork/large/camerupt.jpg
323,323_1,Camerupt,Mega Camerupt,,3,Fire,Ground,Sheer Force,,,Ordinary,Mega,,70,120,100,145,105,20,560,https://img.pokemondb.net/artwork/large/mega-camerupt.jpg
324,324_0,Torkoal,Torkoal,,3,Fire,,White Smoke,Drought,Shell Armor,Ordinary,,,70,85,140,85,70,20,470,https://img.pokemondb.net/artwork/large/torkoal.jpg
325,325_0,Spoink,Spoink,,3,Psychic,,Thick Fat,Own Tempo,Gluttony,Ordinary,,,60,25,35,70,80,60,330,https://img.pokemondb.net/artwork/large/spoink.jpg
326,326_0,Grumpig,Grumpig,,3,Psychic,,Thick Fat,Own Tempo,Gluttony,Ordinary,,,80,45,65,90,110,80,470,https://img.pokemondb.net/artwork/large/grumpig.jpg
327,327_0,Spinda,Spinda,,3,Normal,,Own Tempo,Tangled Feet,Contrary,Ordinary,,,60,60,60,60,60,60,360,https://img.pokemondb.net/artwork/large/spinda.jpg
328,328_0,Trapinch,Trapinch,,3,Ground,,Hyper Cutter,Arena Trap,Sheer Force,Ordinary,,,45,100,45,45,45,10,290,https://img.pokemondb.net/artwork/large/trapinch.jpg
329,329_0,Vibrava,Vibrava,,3,Ground,Dragon,Levitate,,,Ordinary,,,50,70,50,50,50,70,340,https://img.pokemondb.net/artwork/large/vibrava.jpg
330,330_0,Flygon,Flygon,,3,Ground,Dragon,Levitate,,,Ordinary,,,80,100,80,80,80,100,520,https://img.pokemondb.net/artwork/large/flygon.jpg
331,331_0,Cacnea,Cacnea,,3,Grass,,Sand Veil,,Water Absorb,Ordinary,,,50,85,40,85,40,35,335,https://img.pokemondb.net/artwork/large/cacnea.jpg
332,332_0,Cacturne,Cacturne,,3,Grass,Dark,Sand Veil,,Water Absorb,Ordinary,,,70,115,60,115,60,55,475,https://img.pokemondb.net/artwork/large/cacturne.jpg
333,333_0,Swablu,Swablu,,3,Normal,Flying,Natural Cure,,Cloud Nine,Ordinary,,,45,40,60,40,75,50,310,https://img.pokemondb.net/artwork/large/swablu.jpg
334,334_0,Altaria,Altaria,,3,Dragon,Flying,Natural Cure,,Cloud Nine,Ordinary,,,75,70,90,70,105,80,490,https://img.pokemondb.net/artwork/large/altaria.jpg
334,334_1,Altaria,Mega Altaria,,3,Dragon,Fairy,Pixilate,,,Ordinary,Mega,,75,110,110,110,105,80,590,https://img.pokemondb.net/artwork/large/mega-altaria.jpg
335,335_0,Zangoose,Zangoose,,3,Normal,,Immunity,,Toxic Boost,Ordinary,,,73,115,60,60,60,90,458,https://img.pokemondb.net/artwork/large/zangoose.jpg
336,336_0,Seviper,Seviper,,3,Poison,,Shed Skin,,Infiltrator,Ordinary,,,73,100,60,100,60,65,458,https://img.pokemondb.net/artwork/large/seviper.jpg
337,337_0,Lunatone,Lunatone,,3,Rock,Psychic,Levitate,,,Ordinary,,,90,55,65,95,85,70,460,https://img.pokemondb.net/artwork/large/lunatone.jpg
338,338_0,Solrock,Solrock,,3,Rock,Psychic,Levitate,,,Ordinary,,,90,95,85,55,65,70,460,https://img.pokemondb.net/artwork/large/solrock.jpg
339,339_0,Barboach,Barboach,,3,Water,Ground,Oblivious,Anticipation,Hydration,Ordinary,,,50,48,43,46,41,60,288,https://img.pokemondb.net/artwork/large/barboach.jpg
340,340_0,Whiscash,Whiscash,,3,Water,Ground,Oblivious,Anticipation,Hydration,Ordinary,,,110,78,73,76,71,60,468,https://img.pokemondb.net/artwork/large/whiscash.jpg
341,341_0,Corphish,Corphish,,3,Water,,Hyper Cutter,Shell Armor,Adaptability,Ordinary,,,43,80,65,50,35,35,308,https://img.pokemondb.net/artwork/large/corphish.jpg
342,342_0,Crawdaunt,Crawdaunt,,3,Water,Dark,Hyper Cutter,Shell Armor,Adaptability,Ordinary,,,63,120,85,90,55,55,468,https://img.pokemondb.net/artwork/large/crawdaunt.jpg
343,343_0,Baltoy,Baltoy,,3,Ground,Psychic,Levitate,,,Ordinary,,,40,40,55,40,70,55,300,https://img.pokemondb.net/artwork/large/baltoy.jpg
344,344_0,Claydol,Claydol,,3,Ground,Psychic,Levitate,,,Ordinary,,,60,70,105,70,120,75,500,https://img.pokemondb.net/artwork/large/claydol.jpg
345,345_0,Lileep,Lileep,,3,Rock,Grass,Suction Cups,,Storm Drain,Ordinary,,,66,41,77,61,87,23,355,https://img.pokemondb.net/artwork/large/lileep.jpg
346,346_0,Cradily,Cradily,,3,Rock,Grass,Suction Cups,,Storm Drain,Ordinary,,,86,81,97,81,107,43,495,https://img.pokemondb.net/artwork/large/cradily.jpg
347,347_0,Anorith,Anorith,,3,Rock,Bug,Battle Armor,,Swift Swim,Ordinary,,,45,95,50,40,50,75,355,https://img.pokemondb.net/artwork/large/anorith.jpg
348,348_0,Armaldo,Armaldo,,3,Rock,Bug,Battle Armor,,Swift Swim,Ordinary,,,75,125,100,70,80,45,495,https://img.pokemondb.net/artwork/large/armaldo.jpg
349,349_0,Feebas,Feebas,,3,Water,,Swift Swim,Oblivious,Adaptability,Ordinary,,,20,15,20,10,55,80,200,https://img.pokemondb.net/artwork/large/feebas.jpg
350,350_0,Milotic,Milotic,,3,Water,,Marvel Scale,Competitive,Cute Charm,Ordinary,,,95,60,79,100,125,81,540,https://img.pokemondb.net/artwork/large/milotic.jpg
351,351_0,Castform,Castform,,3,Normal,,Forecast,,,Ordinary,,,70,70,70,70,70,70,420,https://img.pokemondb.net/artwork/large/castform.jpg
351,351_1,Castform,Castform Sunny Form,Castform-Su,3,Normal,,Forecast,,,Ordinary,,,70,70,70,70,70,70,420,https://img.pokemondb.net/artwork/large/castform-sunny-form.jpg
351,351_2,Castform,Castform Rainy Form,Castform-R,3,Normal,,Forecast,,,Ordinary,,,70,70,70,70,70,70,420,https://img.pokemondb.net/artwork/large/castform-rainy-form.jpg
351,351_3,Castform,Castform Snowy Form,Castform-Sn,3,Normal,,Forecast,,,Ordinary,,,70,70,70,70,70,70,420,https://img.pokemondb.net/artwork/large/castform-snowy-form.jpg
352,352_0,Kecleon,Kecleon,,3,Normal,,Color Change,,Protean,Ordinary,,,60,90,70,60,120,40,440,https://img.pokemondb.net/artwork/large/kecleon.jpg
353,353_0,Shuppet,Shuppet,,3,Ghost,,Insomnia,Frisk,Cursed Body,Ordinary,,,44,75,35,63,33,45,295,https://img.pokemondb.net/artwork/large/shuppet.jpg
354,354_0,Banette,Banette,,3,Ghost,,Insomnia,Frisk,Cursed Body,Ordinary,,,64,115,65,83,63,65,455,https://img.pokemondb.net/artwork/large/banette.jpg
354,354_1,Banette,Mega Banette,,3,Ghost,,Prankster,,,Ordinary,Mega,,64,165,75,93,83,75,555,https://img.pokemondb.net/artwork/large/mega-banette.jpg
355,355_0,Duskull,Duskull,,3,Ghost,,Levitate,,Frisk,Ordinary,,,20,40,90,30,90,25,295,https://img.pokemondb.net/artwork/large/duskull.jpg
356,356_0,Dusclops,Dusclops,,3,Ghost,,Pressure,,Frisk,Ordinary,,,40,70,130,60,130,25,455,https://img.pokemondb.net/artwork/large/dusclops.jpg
357,357_0,Tropius,Tropius,,3,Grass,Flying,Chlorophyll,Solar Power,Harvest,Ordinary,,,99,68,83,72,87,51,460,https://img.pokemondb.net/artwork/large/tropius.jpg
358,358_0,Chimecho,Chimecho,,3,Psychic,,Levitate,,,Ordinary,,,75,50,80,95,90,65,455,https://img.pokemondb.net/artwork/large/chimecho.jpg
359,359_0,Absol,Absol,,3,Dark,,Pressure,Super Luck,Justified,Ordinary,,,65,130,60,75,60,75,465,https://img.pokemondb.net/artwork/large/absol.jpg
359,359_1,Absol,Mega Absol,,3,Dark,,Magic Bounce,,,Ordinary,Mega,,65,150,60,115,60,115,565,https://img.pokemondb.net/artwork/large/mega-absol.jpg
360,360_0,Wynaut,Wynaut,,3,Psychic,,Shadow Tag,,Telepathy,Ordinary,,,95,23,48,23,48,23,260,https://img.pokemondb.net/artwork/large/wynaut.jpg
361,361_0,Snorunt,Snorunt,,3,Ice,,Inner Focus,Ice Body,Moody,Ordinary,,,50,50,50,50,50,50,300,https://img.pokemondb.net/artwork/large/snorunt.jpg
362,362_0,Glalie,Glalie,,3,Ice,,Inner Focus,Ice Body,Moody,Ordinary,,,80,80,80,80,80,80,480,https://img.pokemondb.net/artwork/large/glalie.jpg
362,362_1,Glalie,Mega Glalie,,3,Ice,,Refrigerate,,,Ordinary,Mega,,80,120,80,120,80,100,580,https://img.pokemondb.net/artwork/large/mega-glalie.jpg
363,363_0,Spheal,Spheal,,3,Ice,Water,Thick Fat,Ice Body,Oblivious,Ordinary,,,70,40,50,55,50,25,290,https://img.pokemondb.net/artwork/large/spheal.jpg
364,364_0,Sealeo,Sealeo,,3,Ice,Water,Thick Fat,Ice Body,Oblivious,Ordinary,,,90,60,70,75,70,45,410,https://img.pokemondb.net/artwork/large/sealeo.jpg
365,365_0,Walrein,Walrein,,3,Ice,Water,Thick Fat,Ice Body,Oblivious,Ordinary,,,110,80,90,95,90,65,530,https://img.pokemondb.net/artwork/large/walrein.jpg
366,366_0,Clamperl,Clamperl,,3,Water,,Shell Armor,,Rattled,Ordinary,,,35,64,85,74,55,32,345,https://img.pokemondb.net/artwork/large/clamperl.jpg
367,367_0,Huntail,Huntail,,3,Water,,Swift Swim,,Water Veil,Ordinary,,,55,104,105,94,75,52,485,https://img.pokemondb.net/artwork/large/huntail.jpg
368,368_0,Gorebyss,Gorebyss,,3,Water,,Swift Swim,,Hydration,Ordinary,,,55,84,105,114,75,52,485,https://img.pokemondb.net/artwork/large/gorebyss.jpg
369,369_0,Relicanth,Relicanth,,3,Water,Rock,Swift Swim,Rock Head,Sturdy,Ordinary,,,100,90,130,45,65,55,485,https://img.pokemondb.net/artwork/large/relicanth.jpg
370,370_0,Luvdisc,Luvdisc,,3,Water,,Swift Swim,,Hydration,Ordinary,,,43,30,55,40,65,97,330,https://img.pokemondb.net/artwork/large/luvdisc.jpg
371,371_0,Bagon,Bagon,,3,Dragon,,Rock Head,,Sheer Force,Ordinary,,,45,75,60,40,30,50,300,https://img.pokemondb.net/artwork/large/bagon.jpg
372,372_0,Shelgon,Shelgon,,3,Dragon,,Rock Head,,Overcoat,Ordinary,,,65,95,100,60,50,50,420,https://img.pokemondb.net/artwork/large/shelgon.jpg
373,373_0,Salamence,Salamence,,3,Dragon,Flying,Intimidate,,Moxie,Ordinary,,,95,135,80,110,80,100,600,https://img.pokemondb.net/artwork/large/salamence.jpg
373,373_1,Salamence,Mega Salamence,Salamence-Mega,6,Dragon,Flying,Aerilate,,,Ordinary,Mega,,95,145,130,120,90,120,700,https://img.pokemondb.net/artwork/large/mega-salamence.jpg
374,374_0,Beldum,Beldum,,3,Steel,Psychic,Clear Body,,Light Metal,Ordinary,,,40,55,80,35,60,30,300,https://img.pokemondb.net/artwork/large/beldum.jpg
375,375_0,Metang,Metang,,3,Steel,Psychic,Clear Body,,Light Metal,Ordinary,,,60,75,100,55,80,50,420,https://img.pokemondb.net/artwork/large/metang.jpg
376,376_0,Metagross,Metagross,,3,Steel,Psychic,Clear Body,,Light Metal,Ordinary,,,80,135,130,95,90,70,600,https://img.pokemondb.net/artwork/large/metagross.jpg
376,376_1,Metagross,Mega Metagross,,3,Steel,Psychic,Tough Claws,,,Ordinary,Mega,,80,145,150,105,110,110,700,https://img.pokemondb.net/artwork/large/mega-metagross.jpg
